run_folder,title,template,iter1_png,primary_issue,secondary_issues,other_description,guard_notes,confidence,free_notes
20260609_025904_Multi-Agent-as-Judge_Aligning__9ece80d6b03f,Multi-Agent-as-Judge: Aligning LLM-Agent-Based Automated Evaluation with Multi-Dimensional Human Evaluation,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025904_Multi-Agent-as-Judge_Aligning__9ece80d6b03f/pptx/iter_1.png,structure_alignment_error,,,,0.8,发现这个storyflow经常有这个问题，右边又留白了
20260609_030028_Automated_Evaluation_of_Person_b3a1b1bcaa11,Automated Evaluation of Personalized Text Generation using Large Language Models,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_030028_Automated_Evaluation_of_Person_b3a1b1bcaa11/pptx/iter_1.png,none,,,,0.9,这张海报太完美了，非常好，标准！
20260609_030306_Agent-as-a-Judge_Evaluate_Agen_1dee0b26a38b,Agent-as-a-Judge: Evaluate Agents with Agents,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_030306_Agent-as-a-Judge_Evaluate_Agen_1dee0b26a38b/pptx/iter_1.png,none,,,,0.8,没问题
20260609_030815_HELLOBENCH_EVALUATING_LONG_TEX_078a8e42438f,HELLOBENCH: EVALUATING LONG TEXT GENERATION CAPABILITIES OF LARGE LANGUAGE MODELS,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_030815_HELLOBENCH_EVALUATING_LONG_TEX_078a8e42438f/pptx/iter_1.png,none,,,,0.8,这张海报也很完美，尤其是results板块那个图很漂亮，适配很舒服
20260609_031113_DataGovBench_Benchmarking_LLM__0848906204dd,DataGovBench : Benchmarking LLM Agents for Real-World Data Governance Workflows,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_031113_DataGovBench_Benchmarking_LLM__0848906204dd/pptx/iter_1.png,none,,,,0.8,这张也很漂亮
20260609_031231_Teaching_Language_Models_to_Cr_1bb5aaf1ca62,Teaching Language Models to Critique via Reinforcement Learning,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_031231_Teaching_Language_Models_to_Cr_1bb5aaf1ca62/pptx/iter_1.png,none,,,,0.8,没问题，也不错
20260609_031542_LeanRAG_Knowledge-Graph-Based__24e848eba9fe,LeanRAG: Knowledge-Graph-Based Generation with Semantic Aggregation and Hierarchical Retrieval,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_031542_LeanRAG_Knowledge-Graph-Based__24e848eba9fe/pptx/iter_1.png,none,,,,0.8,第四个panel图有点小，但是这个图跟之前图有点小的问题都差不多，都是因为长或宽都被分配的撑满了，所以没办法，基本图太小都是这个原因
20260609_031655_Query-Based_Router_by_Dual_Con_ca7853cdbd31,Query-Based Router by Dual Contrastive Learning for Assembling Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_031655_Query-Based_Router_by_Dual_Con_ca7853cdbd31/pptx/iter_1.png,asset_too_small,,,,0.8,同上
20260609_031955_Multimodal_Retrieval-Reflectio_90b3ba39356e,Multimodal Retrieval-Reflection-Augmented Generation for Knowledge-Based VQA,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_031955_Multimodal_Retrieval-Reflectio_90b3ba39356e/pptx/iter_1.png,none,,,,0.8,这个海报生成的字很满，我是觉得很充实的，唯一就是觉得图小了，跟之前图一个原因，高已经撑满了，左右自然就留白了
20260609_032530_Agentic_Search-Enhanced_Large__2fa60d8ceb94,Agentic Search-Enhanced Large Reasoning Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_032530_Agentic_Search-Enhanced_Large__2fa60d8ceb94/pptx/iter_1.png,none,,,,0.8,没问题
20260609_033143_Reachability_of_Independent_Se_5e8f4e632965,Reachability of Independent Sets and Vertex Covers Under Extended Reconfiguration Rules,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_033143_Reachability_of_Independent_Se_5e8f4e632965/pptx/iter_1.png,none,,,,0.8,没问题
20260609_033459_LongRAG_Enhancing_Retrieval-Au_20eda233c56a,LongRAG: Enhancing Retrieval-Augmented Generation with Long-context LLMs,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_033459_LongRAG_Enhancing_Retrieval-Au_20eda233c56a/pptx/iter_1.png,none,,,,0.8,没问题
20260609_033644_AQA_Adaptive_Question_Answerin_7686221c4c02,AQA: Adaptive Question Answering in a Society of LLMs via Contextual Multi-Armed Bandit,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_033644_AQA_Adaptive_Question_Answerin_7686221c4c02/pptx/iter_1.png,none,,,,0.8,图有点小
20260609_033812_Linear_Graph_Retrieval_Augment_26e5b004d601,Linear Graph Retrieval Augmented Generation on Large-Scale Corpora,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_033812_Linear_Graph_Retrieval_Augment_26e5b004d601/pptx/iter_1.png,none,,,,0.8,没问题
20260609_033929_Graph-Guided_Concept_Selection_ec885703e8c7,Graph-Guided Concept Selection for Efficient Retrieval-Augmented Generation,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_033929_Graph-Guided_Concept_Selection_ec885703e8c7/pptx/iter_1.png,none,,,,0.8,没问题
20260609_034053_Youtu-GraphRAG_Vertically_Unif_ab33db82d52d,Youtu-GraphRAG: Vertically Unified Agents for Graph Retrieval-Augmented Complex Reasoning,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034053_Youtu-GraphRAG_Vertically_Unif_ab33db82d52d/pptx/iter_1.png,structure_alignment_error,,,,0.8,又来了，storyflow通病，布局偏左，右边留白了
20260609_034235_Ask_in_Any_Modality_A_Comprehe_7cf7a1708c41,Ask in Any Modality: A Comprehensive Survey on Multimodal Retrieval-Augmented Generation,template_minimal,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034235_Ask_in_Any_Modality_A_Comprehe_7cf7a1708c41/pptx/iter_1.png,asset_too_small,,,,0.8,最后一个模块图也太小了，给图分的空间太窄了
20260609_034408_Agentic_Context_Engineering_Ev_2ff43486cc66,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034408_Agentic_Context_Engineering_Ev_2ff43486cc66/pptx/iter_1.png,none,,,,0.8,没问题，很合适
20260609_034502_Human-in-the-loop_or_AI-in-the_a187d2011cf3,Human-in-the-loop or AI-in-the-loop? Automate or Collaborate?,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034502_Human-in-the-loop_or_AI-in-the_a187d2011cf3/pptx/iter_1.png,structure_alignment_error,,,,0.8,布局偏左
20260609_034637_Building_Production-Ready_AI_A_fcec57454c05,Building Production-Ready AI Agents with Scalable Long-Term Memory,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034637_Building_Production-Ready_AI_A_fcec57454c05/pptx/iter_1.png,none,,,,0.8,这个方法部分，文字有重复的
20260609_034844_EvoAgentX_An_Automated_Framewo_3113cc1e4e25,EvoAgentX: An Automated Framework for Evolving Agentic Workflows,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034844_EvoAgentX_An_Automated_Framewo_3113cc1e4e25/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,storyflow通病
20260609_034941_Latent_Collaboration_in_Multi-_425eabae1cf5,Latent Collaboration in Multi-Agent Systems,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034941_Latent_Collaboration_in_Multi-_425eabae1cf5/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,同上
20260609_035207_Tree_Search_for_LLM_Agent_Rein_01c4c43c1418,Tree Search for LLM Agent Reinforcement Learning,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_035207_Tree_Search_for_LLM_Agent_Rein_01c4c43c1418/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,同上
20260609_035303_INFORMATION_GAIN-BASED_POLICY__91fc4ebf7312,INFORMATION GAIN-BASED POLICY OPTIMIZATION: A SIMPLE AND EFFECTIVE APPROACH FOR MULTITURN LLM AGENTS,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_035303_INFORMATION_GAIN-BASED_POLICY__91fc4ebf7312/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,同上
20260609_035514_Adaptive_Multi-Agent_Reasoning_a5e187809673,Adaptive Multi-Agent Reasoning via Automated Workflow Generation,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_035514_Adaptive_Multi-Agent_Reasoning_a5e187809673/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,同上
20260609_035626_BELLE_A_Bi-Level_Multi-Agent_R_48c95073681f,BELLE: A Bi-Level Multi-Agent Reasoning Framework for Multi-Hop Question Answering,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_035626_BELLE_A_Bi-Level_Multi-Agent_R_48c95073681f/pptx/iter_1.png,asset_too_small,,,,0.8,这个storyflow终于没有空白没问题了，最右侧有个第七panel
20260609_035850_Tongyi_DeepResearch_An_Agentic_2cba933bebbd,Tongyi DeepResearch: An Agentic Large Language Model for Deep Information-Seeking Research Tasks,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_035850_Tongyi_DeepResearch_An_Agentic_2cba933bebbd/pptx/iter_1.png,none,,,,0.8,没问题
20260609_040432_Difficulty-Aware_Agentic_Orche_a37cd9381ae1,Difficulty-Aware Agentic Orchestration for Query-Specific Multi-Agent Workflows,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_040432_Difficulty-Aware_Agentic_Orche_a37cd9381ae1/pptx/iter_1.png,asset_too_small,,,,0.8,这个storyflow，百分百出现的问题，图太小，感觉后期要通过代码去改
20260609_040805_Search_Self-play_Pushing_the_F_73c40da4d2fd,Search Self-play: Pushing the Frontier of Agent Capability without Supervision,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_040805_Search_Self-play_Pushing_the_F_73c40da4d2fd/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,大量留白
20260609_041103_InfiFusion_A_Unified_Framework_91741a511b2b,InfiFusion: A Unified Framework for Enhanced Cross-Model Reasoning via LLM Fusion,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_041103_InfiFusion_A_Unified_Framework_91741a511b2b/pptx/iter_1.png,none,,,,0.8,没问题
20260609_042727_CODE2VIDEO_A_CODE-CENTRIC_PARA_32b909330b0a,CODE2VIDEO: A CODE-CENTRIC PARADIGM FOR EDUCATIONAL VIDEO GENERATION,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_042727_CODE2VIDEO_A_CODE-CENTRIC_PARA_32b909330b0a/pptx/iter_1.png,none,,,,0.8,没问题
20260609_042935_A_Survey_of_Large_Language_Mod_5736843ad823,A Survey of Large Language Model Empowered Agents for Recommendation and Search,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_042935_A_Survey_of_Large_Language_Mod_5736843ad823/pptx/iter_1.png,none,,,,0.8,整体没问题
20260609_043024_BLIP_Bootstrapping_Language-Im_3771d1c601a0,BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_043024_BLIP_Bootstrapping_Language-Im_3771d1c601a0/pptx/iter_1.png,none,,,,0.8,没问题
20260609_043303_Rethinking_Progression_of_Memo_21045ec2feae,Rethinking Progression of Memory State in Robotic Manipulation: An Object-Centric Perspective,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_043303_Rethinking_Progression_of_Memo_21045ec2feae/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,右边留白
20260609_044437_Evaluating_LLM_Agent_Personali_91d748283c90,Evaluating LLM Agent Personality and Response Appropriateness,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_044437_Evaluating_LLM_Agent_Personali_91d748283c90/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,右侧留白
20260609_050055_Evaluating_LLM_Agents_as_Lifel_3015deb5f266,Evaluating LLM Agents as Lifelong Learners,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_050055_Evaluating_LLM_Agents_as_Lifel_3015deb5f266/pptx/iter_1.png,none,,,,0.8,没问题，很好
20260609_050619_AGENTIC_RETRIEVAL-AUGMENTED_GE_c550595ca0d9,AGENTIC RETRIEVAL-AUGMENTED GENERATION: A SURVEY ON AGENTIC RAG,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_050619_AGENTIC_RETRIEVAL-AUGMENTED_GE_c550595ca0d9/pptx/iter_1.png,asset_too_small,,,,0.8,图小，这个是storyflow里面比较好的
20260609_053045_RAG-ANYTHING_ALL-IN-ONE_RAG_FR_bd5861c75187,RAG-ANYTHING: ALL-IN-ONE RAG FRAMEWORK,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_053045_RAG-ANYTHING_ALL-IN-ONE_RAG_FR_bd5861c75187/pptx/iter_1.png,none,,,,0.8,没问题
20260609_054045_Retrieval-Augmented_Generation_935b29f80d65,Retrieval-Augmented Generation with Graphs (GraphRAG),template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_054045_Retrieval-Augmented_Generation_935b29f80d65/pptx/iter_1.png,other,,图旋转90度了,,0.8,这个results里面的图为什么旋转90度了
20260609_054836_Reimagining_Research_Papers_As_2a16bc35f9ac,Reimagining Research Papers As Interactive and Reliable AI Agents,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_054836_Reimagining_Research_Papers_As_2a16bc35f9ac/pptx/iter_1.png,structure_alignment_error,,,,0.8,右侧留白
20260609_061840_Virtuous_Machines_Towards_Arti_59e544c90c8c,Virtuous Machines: Towards Artificial General Science,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_061840_Virtuous_Machines_Towards_Arti_59e544c90c8c/pptx/iter_1.png,structure_alignment_error,,,,0.8,右侧留白
20260609_064924_Align_before_Fuse_Vision_and_L_71aaa19baf2b,Align before Fuse: Vision and Language Representation Learning with Momentum Distillation,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_064924_Align_before_Fuse_Vision_and_L_71aaa19baf2b/pptx/iter_1.png,none,,,,0.8,没问题
20260609_065706_GME_Improving_Universal_Multim_cae3c40103dc,GME: Improving Universal Multimodal Retrieval by Multimodal LLMs,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_065706_GME_Improving_Universal_Multim_cae3c40103dc/pptx/iter_1.png,none,,,,0.8,没问题
20260609_212513_EduIllustrate_Towards_Scalable_91ebd47f4903,EduIllustrate: Towards Scalable Automated Generation Of Multimodal Educational Content,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_212513_EduIllustrate_Towards_Scalable_91ebd47f4903/pptx/iter_1.png,none,,,,0.8,没问题
